id,time,area,e,type,add,now,deal,close,repair,oktime,rtype,lat,lng
1,,新化區,建築物,建築物倒塌,臺南市新化區中山路,京城大樓銀行傾斜,吳昇勳建築師指派技師前往，全倒無法修復，吳昇勳，共10樓，1樓挫曲要拆,是,救護工作進行中,,工務局,23.0437961,120.3148293
2,,永康區,建築物,建築物倒塌,臺南市永康永大路與國光五街2號,維冠大樓,"鄭明昌技師前往
 地上16樓、地下1樓、107戶",是,現場人員緊急搶救中,,工務局,23.0144185,120.2636129
3,,歸仁區,建築物,建築物倒塌,臺南市歸仁區大仁街信義北路口46號,大樓倒塌,陳文祥技師前往,是,現場人員緊急搶救中,,工務局,22.9673914,120.2976866
4,,東區,建築物,建築物倒塌,臺南市東區大智里菜市場長東路103巷,二樓變一樓、損及鄰房10棟，主要造成1樓樑柱接頭受損,"張文隆、吳重君技師前往
 一幢已張貼紅單禁制進入 兩幢已張貼黃單 應鑑定無疑才能使用",是,救護工作進行中,,工務局,22.98133,120.2224227
5,,仁德區,建築物,建築物倒塌,臺南市仁德太子路101巷,大樓倒塌,指派蔡佳?技師前往，全倒3層樓，1樓塌陷,是,救護工作進行中,,工務局,22.9901857,120.2675873
6,,中西區,建築物,建築物倒塌,臺南市中西區8區文和街4—6號,主壤液化、暫無損及鄰房,"已通知張仁杰土木技師前往
 經技師勘查完為土壤液化 尚無安全疑慮",是,救護工作進行中,,工務局,23.0044016,120.1931937
7,,山上區,建築物,建築物倒塌,臺南市山上區公有市場,市場二樓塌陷、二樓變一樓,"指派技師前往，無人傷亡
 查無建使照",是,救護工作進行中,,工務局,23.0893067,120.3723741
8,,新化區,建築物,建築物倒塌,臺南市忠孝路197號,聯興市場坍塌,"吳昇勳建築師指派技師前往，全倒無法修復，RC構造1樓
 查無建使照",是,救護工作進行中,,工務局,23.003238,120.239895
9,,關廟區,建築物,建築物倒塌,臺南市新坑三街17號,住宅倒塌,"已通知 許峰賓建築師前往
 查無建使照",是,救護工作進行中,,工務局,22.9689115,120.3282853
10,,鹽水區,建築物,建築物倒塌,臺南市康樂街2號,平房空屋倒塌,"已通知蔡炅霖建築師前往
 查無建使照",是,救護工作進行中,,工務局,22.9898408,120.1939092
11,,善化區,建築物,建築物倒塌,臺南市民生路大成市場,市場倒塌,"指派技師前往
 查無建使照",是,救護工作進行中,,工務局,,
12,,新市區,建築物,其他,台南市新市區信義街180號,外牆剝落,已派員勘查,是,救護工作進行中,,工務局,23.0786744,120.2899134
13,,歸仁區,建築物,建築物倒塌,臺南市中山路三段吉利寶大樓,大樓整修，目前傾倒,"地上11樓、傾斜嚴重
 指派技師前往",是,救護工作進行中,,工務局,22.9684511,120.2796507
14,,新市區,建築物,建築物倒塌,臺南市三民街50巷10弄,整排房子，地隆面起，外面龜列,指派技師前往,是,救護工作進行中,,工務局,23.0810966,120.3022912
15,,安南區,建築物,建築物倒塌,臺南市府安路四段,巷弄房屋有液化現象,指派技師前往,是,救護工作進行中,,工務局,23.0249211,120.2105439
16,,歸仁區,建築物,建築物倒塌,台南市歸仁區文化街三段34號,整排建物傾倒,已請建築師公會前往勘查,是,救護工作進行中,,工務局,22.9705071,120.2798267
17,,安南區,道路,道路破損,臺南市惠安街五十一巷,道路龜裂及路面突起情形,養護科同仁已至現場處搶修,否,,,工務局,23.0266311,120.2084671
20,,安南區,,,臺南市安南區怡安路一段385巷23號,周邊多戶民宅停電,通報災害應變中心,,,,1999民眾通報,23.0414114,120.2068481
21,,北區,,,臺南市北區臨安路二段143巷21號,水管破裂,通報災害應變中心,,,,1999民眾通報,23.003476,120.1973893
22,,善化區,,,臺南市善化區台一線、善化肉品市場,多處停電,,,,,1999民眾通報,23.1402613,120.3089541
23,,中西區,,,臺南市中西區民權路三段143巷8號,風神廟前面 鐘塔倒塌,,,,,1999民眾通報,22.9971131,120.1957301
24,,安南區,,水管破裂,台南市安南區長和路三段75號,自來水管破裂,,,,,1999民眾通報,23.0633371,120.2171223
25,,永康區,,,台南市永康區中山南路544巷113號,飄出汽油味,,,,,1999民眾通報,23.015597,120.2422513
26,,歸仁區,,停電,台南市歸仁區中山路一段446巷,停電,,,,,1999民眾通報,22.9670578,120.298271
27,,南區,路燈,路燈倒塌,臺南市南區國華街一段86號,路燈倒塌,,,,,1999民眾通報,22.9847661,120.196382
28,,安南區,,水管破裂,臺南市安南區國安街73巷,水管破，水夾帶淤泥一直進入民宅,,,,,1999民眾通報,23.0218626,120.1898782
29,,北區,,水管破裂,臺南市北區臨安路二段143巷17號,自來水管破裂，水淹大樓地下室,,,,,1999民眾通報,23.0034737,120.197475
30,,中西區,,,臺南市中西區友愛街367號,聞到瓦斯味道,,,,,1999民眾通報,22.9925386,120.1937866
31,,安南區,,水管破裂,臺南市安南區安和路五段336巷,佳麗寶地下室的水管破掉,,,,,1999民眾通報,23.069691,120.2172224
